keyword,owner,repo_name,stars,forks_count,issue_count,network_count,subscribers_count,watchers_count,description,topics
C++,Qv2ray,Qv2ray,12659,2431,20,2431,250,12659,:star: Linux / Windows / macOS 跨平台 V2Ray 客户端 | 支持 VMess / VLESS / SSR / Trojan / Trojan-Go / NaiveProxy / HTTP / HTTPS / SOCKS5 | 使用 C++ / Qt 开发 | 可拓展插件式设计 :star:,"v2ray,ssr,trojan,trojan-go,qt5,v2fly,qv2ray,qv2ray-plugins,plugin,cpp,cpp17,cmake,aur,debian"
C++,google,guetzli,12592,1007,124,1007,495,12592,Perceptual JPEG encoder,jpeg-encoder
C++,apache,incubator-brpc,12504,3116,527,3116,849,12504,"Industrial-grade RPC framework used throughout Baidu, with 1,000,000+ instances and thousands kinds of services. ""brpc"" means ""better RPC"".",rpc
C++,fmtlib,fmt,12410,1491,14,1491,322,12410,A modern formatting library,"c-plus-plus,formatting,printf,output,chrono,performance,multiplatform,cross-platform"
C++,microsoft,AirSim,12361,3467,519,3467,594,12361,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research","drones,ai,self-driving-car,autonomous-vehicles,autonomous-quadcoptor,research,computer-vision,artificial-intelligence,deeplearning,deep-reinforcement-learning,control-systems,pixhawk,cross-platform,platform-independent,airsim,unreal-engine,simulator"
C++,CoatiSoftware,Sourcetrail,12131,810,357,810,271,12131,Sourcetrail - free and open-source interactive source explorer,"c,cpp,java,python"
C++,google,filament,12060,1138,91,1138,355,12060,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS, and WebGL2","pbr,graphics,3d-graphics,real-time,android,opengl,opengl-es,vulkan,webgl,wasm,metal"
C++,MarlinFirmware,Marlin,12030,15353,651,15353,925,12030,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. | Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,"reprap,arduino,3d-printing,firmware,avr,atmel,stmicro,esp32,hacktoberfest"
C++,arangodb,arangodb,11762,734,639,734,348,11762,"🥑 ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.","multi-model,graph-database,document-database,key-value,database,distributed-database,arangodb,nosql,graphdb"
C++,google,tink,11760,1024,112,1024,369,11760,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse.","cryptography,java,cpp,go,objc,crypto,security,javascript"
C++,onnx,onnx,11643,2202,493,2202,431,11643,Open standard for machine learning interoperability,"deep-learning,deep-neural-networks,neural-network,onnx,pytorch,mxnet,tensorflow,keras,scikit-learn,ml,machine-learning,dnn"
C++,wkhtmltopdf,wkhtmltopdf,11606,1518,1223,1518,392,11606,Convert HTML to PDF using Webkit (QtWebKit),
C++,ssloy,tinyrenderer,11565,1084,22,1084,398,11565,A brief computer graphics / rendering course,"opengl,c-plus-plus,picture,graphics,software-rendering,shaders,rendering,learning,fun,images,pixels,computer-graphics,rasterizer,rendering-engine,rendering-pipeline,engine,tutorial,3d,3d-graphics,cpp"
C++,lettier,3d-game-shaders-for-beginners,11450,835,12,835,354,11450,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game.","shaders,3d,graphics,panda3d,game-development,glsl,glsl-shaders,graphics-programming,3d-graphics,hlsl,unity,godot,gamedev,glsl-shader,shader,unity3d,indiedev,opengl,webgl,vulkan"
C++,Tencent,rapidjson,11422,3028,543,3028,584,11422,A fast JSON parser/generator for C++ with both SAX/DOM style API,
C++,keepassxreboot,keepassxc,11369,913,658,913,247,11369,KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.,"keepassxc,keepass,password-manager,linux,windows,cross-platform,yubikey,macos,password,security,privacy,hacktoberfest"
C++,WerWolv,ImHex,11284,561,93,561,308,11284,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.","hex-editor,reverse-engineering,ips,ips32,pattern-highlighting,dear-imgui,disassembler,analyzer,mathematical-evaluator,pattern-language,dark-mode,nodes,data-processor,hacktoberfest"
C++,EOSIO,eos,11270,3651,358,3651,1055,11270,An open source smart contract platform ,eosio
PHP,laravel,laravel,67251,21748,30,21748,4631,67251,A PHP framework for web artisans.,"php,framework,laravel"
PHP,danielmiessler,SecLists,34522,17928,36,17928,1786,34522,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",
PHP,blueimp,jQuery-File-Upload,31072,8217,49,8217,1614,31072,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",
PHP,fzaninotto,Faker,26194,3218,246,3218,562,26194,Faker is a PHP library that generates fake data for you,
PHP,symfony,symfony,25972,8386,668,8386,1191,25972,The Symfony PHP framework,"framework,php,symfony,symfony-bundle,bundle,php-framework,hacktoberfest"
PHP,composer,composer,25781,6183,210,6183,602,25781,Dependency Manager for PHP,"php,composer,dependency-manager,package-manager,packages,hacktoberfest"
